Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
ZQHVJ,Football,Holloway,Under Armour,Port & Company,2152,5
ZQHSH,Football,adidas,Sport-Tek,District Made,2426,3
ZQHQN,Corporate,CornerStone,Sport-Tek,Port Authority,3916,3
ZQHDA,Football,Under Armour,BIZ Collection,Gildan,2571,8
ZQGPP,Basketball,Pacific Headwear,Russell Athletic,Twin City,1647,4
ZQGBF,Apparel,Russell Athletic,Gildan,Bella + Canvas,2120,7
ZQGA5,Dance,Nike,Pennant Sportswear,S&S,2750,3
ZQFTM,Baseball,Gildan,Badger,Holloway,2213,9
ZQFC4,Wrestling,Under Armour,Port & Company,Holloway,2473,7
ZQF7B,Lacrosse,Badger,Augusta,Port & Company,1647,9
ZQEUE,Lacrosse,Port & Company,Sport-Tek,Under Armour,1905,5
ZQE85,Other,Team 365,Sport-Tek,New Era,2499,7
ZQE2E,Dance,Bella + Canvas,Boxercraft,Port Authority,2905,12
ZQDPC,Softball,Port & Company,Sport-Tek,Badger,1452,5
ZQDGM,Corporate,Sport-Tek,Sport-Tek,District Made,3567,3
ZQDEE,Other,New Era,Gildan,Gildan,2000,3
ZQCVM,Basketball,Gildan,BAW,Badger,2300,4
ZQCVF,Baseball,Sport-Tek,Gildan,Vinyl Works,2062,7
ZQCV6,Other,Bella + Canvas,Sport-Tek,Fruit of the Loom,1839,5
ZQCRJ,Soccer,Holloway,Sport-Tek,Port Authority,2684,9
ZQCQV,Volleyball,Holloway,Pennant Sportswear,Nike,2576,5
ZQCNN,Football,A4,A4,Bella + Canvas,1367,5
ZQCMZ,Soccer,Hanes,Nike,Pacific Headwear,2760,13
ZQCKN,Softball,Gildan,Augusta,Holloway,1931,4
ZQCC4,Basketball,A4,Gildan,Twin City,869,6
ZQC9Q,Spirit Wear,Gildan,Sportsman,Boxercraft,1959,7
ZQC5U,Apparel,Gildan,Badger,Holloway,1998,4
ZQBJG,Volleyball,Gildan,Holloway,Under Armour,1764,8
ZQB92,Tennis,Sport-Tek,Augusta,New Era,1617,4
ZQAYJ,Football,Nike,Rawlings,Cutters,2182,4
ZQAHQ,Soccer,Under Armour,adidas,27 Sports,4603,3
ZQA78,Wrestling,Under Armour,Sport-Tek,Port & Company,2868,7
ZQ9YV,Wrestling,Compound Clothing,Vapor,Holloway,2771,5
ZQ9XE,School,Gildan,Boxercraft,Bella + Canvas,1368,5
ZQ9QS,Volleyball,Gildan,Port & Company,Nike,1650,4
ZQ9NH,Wrestling,Gildan,Augusta,Holloway,1855,7
ZQ9J8,Baseball,Outdoor Cap,Under Armour,Alleson,2799,10
ZQ9G3,Apparel,Gildan,Port & Company,Bella + Canvas,954,4
ZQ9C9,Football,Gildan,A4,Pacific Headwear,1389,5
ZQ96T,Athletics,Gildan,Twin City,Alleson,1566,8
ZQ8UH,Fundraiser,Augusta,Port & Company,Nike,1855,4
ZQ8D4,Baseball,adidas,Port & Company,Sport-Tek,3072,5
ZQ8B2,Baseball,Russell Athletic,Hanes,Gildan,3147,8
ZQ868,Other,Port Authority,Sport-Tek,Eddie Bauer,5000,3
ZQ7XP,Track & Field,Sport-Tek,Port & Company,Gildan,1781,7
ZQ7VG,Volleyball,Mizuno,A4,District Made,2510,9
ZQ7K4,Spirit Wear,Port & Company,Gildan,Nike,1337,5
ZQ7F6,Apparel,Gildan,Eddie Bauer,Pacific Headwear,3033,5
ZQ7AG,Lacrosse,Under Armour,Port & Company,Holloway,1720,4
ZQ77E,Staff,J. American,Port & Company,Leed's,2335,9
ZQ73T,Swimming,Better Times,Holloway,Boxercraft,2413,9
ZQ73D,Track & Field,Gildan,Badger,Pennant Sportswear,2747,8
ZQ6R4,Baseball,Augusta,ASI,Gildan,1891,4
ZQ6JP,Softball,Gildan,Gildan,Twin City,1546,9
ZQ6J4,Cross Country,Gildan,Augusta,Coffey Connection,2042,12
ZQ6GQ,Baseball,Rawlings,New Era,Twin City,1793,5
ZQ5T5,Spirit Wear,Gildan,Harriton,Badger,1500,6
ZQ5K4,Other,Under Armour,Pennant Sportswear,Pacific Headwear,2878,5
ZQ4ZV,Softball,Twin City,Port & Company,Under Armour,1971,7
ZQ4SC,Basketball,Holloway,Russell Athletic,Port & Company,2473,4
ZQ4QC,Baseball,adidas,Gildan,Gildan,2555,5
ZQ4DE,Band Music & Choir,Russell Athletic,Port & Company,Gildan,2064,8
ZQ46E,Softball,Under Armour,Port & Company,Holloway,1974,6
ZQ3AA,School,Port & Company,Tie Dye,Holloway,1270,9
ZQ33B,Tennis,Gildan,Augusta,Tultex,2244,7
ZQ32Q,Softball,Gildan,Holloway,Augusta,1666,5
ZQ26D,Basketball,adidas,New Era,Holloway,2686,6
ZPZQR,Other,Port & Company,Gildan,Sport-Tek,1517,3
ZPZJA,Athletic Training,Under Armour,Gildan,Holloway,2621,3
ZPZ8S,Basketball,Gildan,Port & Company,A4,1803,5
ZPYZ4,Other,Port & Company,Gildan,Pokeys,1361,6
ZPYMW,Baseball,Alleson,Badger,Pacific Headwear,2312,7
ZPYM8,Baseball,Rawlings,Badger,Adams,2863,7
ZPYDD,Band Music & Choir,Gildan,Fruit of the Loom,Port Authority,1713,8
ZPY85,Softball,Gildan,Sport-Tek,New Era,1857,4
ZPY7A,Spirit Wear,BAW,Gildan,A4,2309,7
ZPXJN,Other,Russell Athletic,Under Armour,Bodek,2679,6
ZPWU8,Basketball,Nike,Augusta,SCENTURION,4293,5
ZPWJ6,Rugby,Boathouse,Pennant Sportswear,Sport-Tek,4900,3
ZPWHE,Wrestling,Gildan,District Made,Holloway,1670,3
ZPW4G,Volleyball,Mizuno,Pennant Sportswear,PARK AVE.,3659,6
ZPVXF,Staff,New Era,Augusta,Port Authority,2945,7
ZPVX6,Golf,Gildan,Sport-Tek,Holloway,2041,4
ZPVPT,Corporate,Gildan,Port & Company,Hanes,1525,6
ZPVB5,Greek,Nike,Under Armour,Badger,2694,4
ZPV59,Spirit Wear,Nike,Holloway,Holloway,2995,3
ZPV36,Other,Gildan,Port & Company,Pacific Headwear,1705,6
ZPUYJ,Basketball,adidas,Badger,Port & Company,3711,4
ZPUW4,Lacrosse,Warrior,Under Armour,Port & Company,2671,3
ZPUKJ,Athletics,Gildan,Under Armour,Badger,1693,4
ZPTPK,Basketball,Nike,Port & Company,Gildan,4838,4
ZPT47,Soccer,Twin City,adidas,Holloway,1642,5
ZPT23,Baseball,A4,Badger,Russell Athletic,2695,11
ZPSG6,Other,Port Authority,Sport-Tek,Gildan,2822,3
ZPSE5,Athletics,Sport-Tek,Gildan,Augusta,2444,9
ZPSBJ,Volleyball,Asics,Hanes,Carolina Made,2054,3
ZPS67,Swimming,Gildan,TommyMac,Comfort Colors,1296,9
ZPRXJ,Lacrosse,Under Armour,Badger,Port Authority,3134,5
ZPRV2,Spirit Wear,Hanes,Badger,Sport-Tek,2433,6
ZPQVQ,Basketball,Port & Company,Holloway,Sport-Tek,2539,5
ZPQSW,Baseball,Under Armour,Sport-Tek,District Made,3856,4
ZPQPT,Spirit Wear,Port & Company,Fruit of the Loom,Hanes,1762,5
ZPQKK,Spirit Wear,Gildan,Port & Company,Under Armour,2237,4
ZPQHJ,Booster Club,Badger,Badger,Holloway,1911,7
ZPQBH,Spirit Wear,Bella + Canvas,Gildan,Holloway,2117,4
ZPQBB,Wrestling,New Era,Pennant Sportswear,Proguard,3036,7
ZPPY3,Baseball,BAW,Gildan,Alleson,1995,5
ZPPW6,Baseball,HRS,Rawlings,Team 365,2973,3
ZPPVX,Track & Field,Gildan,Pennant Sportswear,Augusta,2546,8
ZPPKE,Swimming,District Made,Sport-Tek,Gildan,1646,3
ZPP7E,Spirit Wear,Holloway,adidas,Under Armour,2497,5
ZPN7Z,Hockey,Bauer,Under Armour,Holloway,4072,8
ZPMG9,Wrestling,Holloway,adidas,Gildan,2382,4
ZPM2N,Soccer,Gildan,Under Armour,Pennant Sportswear,2624,4
ZPKQZ,Corporate,Devon & Jones,Cutter & Buck,Vansport,5743,4
ZPKKZ,Basketball,Gildan,Under Armour,Port & Company,2389,8
ZPKCY,Soccer,adidas,Badger,Twin City,1840,6
ZPK8H,Lacrosse,Badger,Gildan,Pennant Sportswear,2961,7
ZPK74,Cross Country,Russell Athletic,adidas,Badger,2056,4
ZPK6Y,Baseball,Easton,A4,Russell Athletic,2414,6
ZPJX7,Apparel,Badger,Hanes,Gildan,1887,7
ZPJVJ,Tennis,Holloway,Russell Athletic,Badger,2538,3
ZPJHT,Softball,Port & Company,District Made,Sport-Tek,1560,7
ZPJER,Softball,Holloway,Gildan,Gildan,3067,3
ZPJ6R,Cheer,SOFFE,Under Armour,Boxercraft,1509,8
ZPHR2,Other,Holloway,Gildan,Badger,3377,5
ZPH98,Wrestling,Gildan,Badger,Under Armour,2067,4
ZPGVF,Other,Sport-Tek,Augusta,Russell Athletic,2683,3
ZPGSN,Track & Field,Under Armour,Sport-Tek,Port & Company,2482,3
ZPGJT,Baseball,Under Armour,Russell Athletic,Sport-Tek,2281,5
ZPGEK,Baseball,Alleson,Badger,ChamPro,2148,5
ZPG5G,Softball,Pennant Sportswear,Holloway,Port & Company,2290,4
ZPFPW,Basketball,Gildan,Sport-Tek,Augusta,1661,4
ZPFNN,Volleyball,Nike,Russell Athletic,Badger,1537,4
ZPFGJ,Softball,Gildan,Under Armour,Port & Company,1338,5
ZPFFJ,Baseball,Badger,Rawlings,ChamPro,3533,5
ZPFEU,Volleyball,Badger,Port & Company,adidas,1331,3
ZPF7P,Basketball,Gildan,Bella + Canvas,Holloway,1442,4
ZPENY,Cross Country,Ogio,Burnside,Holloway,1749,5
ZPEEW,Volleyball,Port & Company,Russell Athletic,Pacific Headwear,1575,3
ZPEDK,Spirit Wear,Badger,Holloway,Sport-Tek,3223,6
ZPDZX,Soccer,adidas,Twin City,Badger,1809,9
ZPDWT,Lacrosse,Holloway,Augusta,Under Armour,3395,7
ZPDSY,Apparel,Pennant Sportswear,Augusta,New Era,3040,7
ZPDSE,Softball,Gildan,Badger,Holloway,1285,4
ZPDBC,Fundraiser,Holloway,Russell Athletic,Sport-Tek,3108,6
ZPCYY,Apparel,Port & Company,Badger,Holloway,1284,4
ZPCSR,Softball,High Five,ChamPro,Augusta,1446,5
ZPC63,Apparel,Sport-Tek,Port Authority,Eddie Bauer,3132,4
ZPBWJ,Lacrosse,A4,Badger,Russell Athletic,3338,7
ZPBJT,Apparel,Gildan,adidas,Ogio,2196,8
ZPAYW,Apparel,Under Armour,Holloway,adidas,3295,4
ZPAPK,Cross Country,Gildan,Holloway,Pennant Sportswear,2273,3
ZPAMQ,Fundraiser,Gildan,CornerStone,Sportsman,2625,3
ZPA8U,Baseball,ChamPro,Under Armour,Pro-Look,3229,10
ZPA66,Basketball,Alleson,Badger,Pennant Sportswear,3087,5
ZPA2Z,Tennis,Port & Company,Gildan,Under Armour,2232,4
ZP9QX,Lacrosse,Russell Athletic,Russell Athletic,Holloway,3234,5
ZP9MZ,Basketball,Under Armour,Gildan,Pennant Sportswear,2551,5
ZP9J4,Basketball,Under Armour,Nike,Badger,2258,3
ZP9EJ,Football,Gildan,Holloway,Sport-Tek,2096,4
ZP9A6,Track & Field,Port & Company,Bella + Canvas,Just Cool,2552,7
ZP997,Baseball,Rawlings,Badger,Gildan,2778,7
ZP98A,Hockey,Bauer,Gildan,Fersten,3483,6
ZP8PE,Golf,Pennant Sportswear,Pacific Headwear,Ogio,3158,6
ZP8PB,Football,Under Armour,Hanes,New Era,3377,11
ZP8MH,Football,Augusta,Holloway,Port & Company,2411,5
ZP87G,Baseball,Alleson,Sport-Tek,Badger,2244,5
ZP7XB,Dance,Gildan,Augusta,Holloway,4451,5
ZP7MW,Baseball,ChamPro,Holloway,Badger,1887,6
ZP7HT,Tennis,Gildan,Sport-Tek,Badger,1575,5
ZP787,Apparel,Under Armour,Sport-Tek,Sport-Tek,2405,6
ZP74G,Spirit Wear,Gildan,Augusta,Alleson,1910,6
ZP6ZH,Other,Port & Company,Under Armour,New Era,3236,7
ZP6XA,Baseball,Under Armour,Badger,Rawlings,2342,8
ZP6X9,Softball,adidas,Mizuno,Wilson,1880,4
ZP6WE,Corporate,District Made,Port & Company,Sport-Tek,976,3
ZP6VD,Other,Gildan,Sport-Tek,Badger,2138,3
ZP6F8,Soccer,Gildan,Holloway,S&S,1225,3
ZP6AU,Softball,Intensity,Texas Bat Company,Easton,941,9
ZP69E,Lacrosse,Under Armour,Gildan,Holloway,4103,4
ZP5WE,Football,Nike,Under Armour,Holloway,3498,4
ZP5TN,Track & Field,Nike,Gildan,Pacific Headwear,2894,4
ZP5KZ,Softball,Mizuno,Russell Athletic,Sport-Tek,3046,6
ZP5ES,Baseball,Martin,Holloway,Pukka,1872,3
ZP5D2,Apparel,Devon & Jones,UltraClub,Under Armour,3230,5
ZP58R,Basketball,Under Armour,Alleson,Alleson,2533,3
ZP522,Cross Country,Pennant Sportswear,Team 365,New Era,2850,4
ZP4HV,Soccer,Sport-Tek,Holloway,ASI,2785,5
ZP4GR,Softball,Holloway,Gildan,Sport-Tek,2276,8
ZP47M,Apparel,Sport-Tek,Port & Company,Port Authority,0,5
ZP3R5,Football,Under Armour,Tag,Shock Doctor,3336,4
ZP3QJ,Soccer,Gildan,Holloway,adidas,1905,5
ZP3PW,Corporate,General,Pedova,Port Authority,0,4
ZP3NQ,Apparel,Badger,Badger,Augusta,2790,5
ZP3D4,Baseball,Gildan,Bella + Canvas,Badger,2318,8
ZP399,Baseball,Gildan,Bella + Canvas,Badger,1888,10
ZP2Y4,Swimming,Gildan,Port & Company,Sport-Tek,1622,6
ZP2X3,Booster Club,Gildan,Holloway,Boxercraft,2421,8
ZP2V6,Holiday,Gildan,Augusta,Bella + Canvas,1518,6
ZP2V3,Lacrosse,Under Armour,Port & Company,Holloway,2506,4
ZP2UZ,Hockey,Badger,Pacific Headwear,Port & Company,2450,5
ZP2J3,Lacrosse,Under Armour,Gildan,Augusta,2766,6
ZP2F8,Hockey,Bauer,Athletic Knit,Dangle,8027,6
ZP245,Swimming,Gildan,District Made,Holloway,1771,10
ZNZNJ,Swimming,Gildan,Bella + Canvas,Augusta,1122,8
ZNZAM,Soccer,High Five,Under Armour,Nike,2244,8
ZNZ7V,Other,Port & Company,Sport-Tek,Flexfit,1782,3
ZNZ65,Volleyball,Gildan,adidas,Colortone,2500,4
ZNYXR,Other,adidas,Augusta,Columbia,0,6
ZNYFR,Baseball,Augusta,Gildan,Pacific Headwear,1072,3
ZNYCC,Band Music & Choir,District Made,Port & Company,Hanes,1700,3
ZNXW3,Softball,Gildan,Under Armour,Mizuno,1682,5
ZNXUG,Basketball,Under Armour,Port & Company,Gildan,2614,4
ZNXSS,Other,Badger,Port & Company,Sport-Tek,3302,4
ZNXBX,Soccer,Sport-Tek,Port & Company,Gildan,1990,4
ZNWVR,Wrestling,Sport-Tek,Gildan,District Made,2351,9
ZNWNS,Softball,Holloway,Holloway,Badger,1880,3
ZNW6G,Football,Sport-Tek,New Era,Port & Company,2423,5
ZNVXT,Hockey,Bauer,Under Armour,Pukka,4301,5
ZNV78,Other,District Made,Port Authority,Port Authority,1705,4
ZNUZM,Cross Country,Gildan,District Made,A4,1388,3
ZNUYE,Lacrosse,Under Armour,Holloway,Gildan,3016,6
ZNUGS,Wrestling,Gildan,Holloway,Russell Athletic,2057,4
ZNUBH,Spirit Wear,Sport-Tek,Port Authority,Port & Company,2000,4
ZNU87,Apparel,Under Armour,Sport-Tek,Port Authority,3745,5
ZNU42,Football,Russell Athletic,Under Armour,Gildan,1708,6
ZNTZU,Baseball,Alleson,Under Armour,ChamPro,2014,6
ZNTWD,Baseball,Under Armour,Badger,Gildan,2333,6
ZNTN4,Soccer,Under Armour,Port & Company,New Era,2933,4
ZNT3X,Softball,C2 Sports,Under Armour,Pacific Headwear,3120,4
ZNSWY,Hockey,adidas,Sport-Tek,Gildan,2465,5
ZNSVA,Other,Pennant Sportswear,Augusta,Gildan,5080,7
ZNSPK,Apparel,Holloway,Badger,Port & Company,2846,8
ZNSDW,Baseball,Nike,Wilson,Majestic,4651,6
ZNS6E,Medical,District Made,Port Authority,Sport-Tek,2278,6
ZNS52,Spirit Wear,Under Armour,Stormtech,TRIMARK,3542,3
ZNRZJ,Baseball,Badger,Russell Athletic,Augusta,1847,14
ZNR2M,Volleyball,Gildan,Under Armour,Game Day,2868,5
ZNQKG,Hockey,Under Armour,Sport-Tek,District Made,3566,4
ZNQDK,Fundraiser,Gildan,Comfort Colors,Port & Company,891,5
ZNQ9M,Apparel,District Made,Gildan,Port & Company,1537,3
ZNPS5,Basketball,adidas,Gildan,Holloway,3385,3
ZNPPD,Soccer,Holloway,Holloway,Gildan,3643,5
ZNPHJ,Hockey,Under Armour,Badger,In Play,3377,7
ZNPDY,Apparel,Under Armour,Stormtech,Nike,4930,6
ZNPB9,Baseball,Bella + Canvas,Sport-Tek,Badger,1577,7
ZNNQ4,Baseball,Gildan,Bella + Canvas,A4,2600,7
ZNNKE,Spirit Wear,Gildan,Holloway,Port & Company,1834,4
ZNNGJ,Spirit Wear,Boxercraft,Gildan,Augusta,1433,4
ZNN2H,Baseball,Gildan,Sport-Tek,Port Authority,1933,7
ZNMKW,Baseball,ChamPro,ChamPro,Gildan,708,5
ZNME5,Baseball,Gildan,Majestic,Twin City,2408,11
ZNMCN,Basketball,Russell Athletic,Holloway,Badger,2030,3
ZNM82,Baseball,Bella + Canvas,Sport-Tek,Gildan,2021,5
ZNM32,Corporate,Hanes,Tri-Mountain,Port Authority,2758,6
ZNKYE,Baseball,Mizuno,Augusta,Adams,3688,5
ZNKXC,Football,Holloway,Gildan,S&S,2658,8
ZNKV9,Baseball,Alleson,Twin City,Adams,3368,8
ZNKU7,School,Tie Dye,Sport-Tek,Bella + Canvas,1617,6
ZNKSS,Football,Sport-Tek,Gildan,Pacific Headwear,2210,5
ZNKH7,Hockey,Under Armour,adidas,Badger,2733,3
ZNKEE,Baseball,Badger,Under Armour,Rawlings,3811,4
ZNKAA,Baseball,Russell Athletic,Under Armour,Game Day,3653,3
ZNK7M,Soccer,Port & Company,District Made,Sport-Tek,1592,3
ZNJPS,Hockey,Gildan,District Made,Outdoor Cap,1409,7
ZNJCN,Rowing,Boathouse,Sport-Tek,District Made,5047,4
ZNJ9W,Spirit Wear,Gildan,District Made,Port Authority,1463,5
ZNJ85,Ultimate Frisbee,Five Ultimate 4,Five Ultimate 1,Five Ultimate 2,2861,5
ZNJ5Q,Baseball,ChamPro,Easton,Pacific Headwear,2261,12
ZNJ49,Other,Under Armour,Alleson,Sport-Tek,3667,6
ZNHPE,Track & Field,Badger,Gildan,Augusta,2600,3
ZNHGW,Apparel,Gildan,Port & Company,Precious Cargo,1268,4
ZNHF6,Other,Badger,Gildan,Outdoor Cap,2039,4
ZNHD9,Soccer,Under Armour,adidas,Russell Athletic,3055,3
ZNHBQ,Softball,Gildan,Badger,Port & Company,1637,6
ZNGMN,Other,Sport-Tek,New Era,Port & Company,3248,4
ZNGMC,Softball,Gildan,Badger,Holloway,1578,9
ZNG7P,Soccer,Under Armour,Sport-Tek,Port & Company,3465,3
ZNFTU,Baseball,Gildan,Protime Sports,Pacific Headwear,1493,3
ZNFT5,Golf,Nike,adidas,Port Authority,3361,6
ZNF2E,Cheer,Port & Company,Badger,Augusta,1980,6
ZNETA,Baseball,Rawlings,Holloway,Mizuno,3238,3
ZNE6E,Volleyball,Alleson,Under Armour,Augusta,2958,5
ZNE4G,Spirit Wear,Sport-Tek,Holloway,Gildan,2195,11
ZNDJW,Softball,Marucci,Gildan,District Made,2504,6
ZNDE3,Softball,Holloway,Holloway,Nike,2763,6
ZNDCS,Other,Bella + Canvas,Gildan,Holloway,3974,5
ZND8G,Other,Gildan,Port Authority,District Made,1903,13
ZND5C,Baseball,Badger,Russell Athletic,Under Armour,1911,6
ZNCFF,Basketball,adidas,Port & Company,Badger,3488,3
ZNCDB,Basketball,Holloway,SOFFE,Augusta,2637,6
ZNCBG,Water Polo,AJM,Fruit of the Loom,Extreme,2051,6
ZNC55,Wrestling,Asics,Cliff-Keen,Russell Athletic,2411,6
ZNBKX,Soccer,Under Armour,Delta,Augusta,2188,4
ZNBK2,Baseball,Sport-Tek,Gildan,KL Kreations,2935,5
ZNBFF,Baseball,Gildan,Badger,Badger,2340,7
ZNB8G,Swimming,Holloway,Sport-Tek,A4,2500,4
ZNB7U,Corporate,Port & Company,Port Authority,Sport-Tek,1353,3
ZNAUS,Other,Gildan,TRIMARK,AJM,2234,5
ZNAUM,Baseball,Gildan,B&C Apparel,Pacific Headwear,2782,10
ZNATH,Wrestling,My House,Augusta,New Era,2042,6
ZNANC,Cheer,Gildan,Port Authority,District Made,1422,6
ZNAGR,Volleyball,Gildan,Nike,Meuller,1752,3
ZN9ZM,Cheer,Gildan,SOFFE,Boxercraft,1808,11
ZN9UV,Spirit Wear,Gildan,SanMar,Sportsman,1301,5
ZN9JC,Soccer,adidas,Port & Company,Gildan,2018,4
ZN9BJ,Basketball,Gildan,Sport-Tek,Holloway,1540,4
ZN97G,Softball,Gildan,Badger,Pennant Sportswear,1989,17
ZN8N7,Soccer,adidas,Gildan,Pennant Sportswear,3161,8
ZN8MW,Apparel,Holloway,Port & Company,Nike,1773,5
ZN8EU,Golf,New Era,Nike,Sport-Tek,2026,5
ZN8EB,Police Fire & Military,Port Authority,Gildan,Gildan,5443,3
ZN886,Baseball,Under Armour,Badger,Badger,3044,10
ZN83A,Baseball,Russell Athletic,Under Armour,Holloway,2135,5
ZN7VX,Corporate,Sport-Tek,Holloway,Port Authority,4065,4
ZN7VH,Wrestling,adidas,Gildan,Badger,2572,6
ZN7V3,Gymnastics,Gildan,Pennant Sportswear,Holloway,2082,3
ZN6TP,Volleyball,Fruit of the Loom,Gildan,J American,2157,5
ZN6PZ,Baseball,Gildan,SanMar,Augusta,2428,6
ZN5M8,Martial Arts,Sport-Tek,Boathouse,New Era,4125,5
ZN5JY,Baseball,Badger,Wilson,Rawlings,3337,8
ZN5EC,Basketball,Holloway,Sport-Tek,Port & Company,2120,3
ZN4VW,Other,Gildan,Sport-Tek,Carhartt,2973,4
ZN4NU,Volleyball,Sport-Tek,Port & Company,Pennant Sportswear,2522,17
ZN4M3,Fundraiser,Sport-Tek,Gildan,Badger,2536,6
ZN4GV,Volleyball,A4,adidas,Sport-Tek,1955,4
ZN4EX,Band Music & Choir,Comfort Colors,Gildan,A4,1715,4
ZN48U,Golf,Augusta,Holloway,adidas,2366,9
ZN3ZE,Baseball,Easton,Gildan,New Era,2309,5
ZN3WH,Football,Sport-Tek,Port & Company,Augusta,1892,5
ZN3D9,Basketball,Under Armour,adidas,Gildan,2957,4
ZN39P,Football,Nike,Russell Athletic,Port Authority,1718,4
ZN342,Spirit Wear,Nike,Holloway,Gildan,5120,3
ZN2UB,Volleyball,Comfort Colors,Boxercraft,Gildan,1939,6
ZN26R,Swimming,Gildan,Sport-Tek,Bella + Canvas,1330,10
ZMZWH,Softball,Badger,Twin City,Tag,2065,3
ZMZTV,Spirit Wear,Holloway,Sport-Tek,Under Armour,2961,5
ZMZNU,Volleyball,Gildan,Asics,A4,1431,6
ZMZ9Y,Football,Gildan,Pennant Sportswear,Augusta,1454,9
ZMZ69,Volleyball,Mizuno,Asics,High Five,2760,3
ZMYTR,Track & Field,Port & Company,Badger,adidas,1989,5
ZMYBN,Lacrosse,Badger,Fruit of the Loom,Nike,2658,6
ZMYBD,Football,Badger,Port & Company,ChamPro,1216,3
ZMXUB,Softball,Augusta,Sport-Tek,Sport-Tek,2220,4
ZMXG7,Football,Badger,Holloway,Russell Athletic,2235,4
ZMXAK,Lacrosse,Gildan,Under Armour,Badger,2003,4
ZMX7F,Volleyball,Port & Company,Sport-Tek,Gildan,1654,6
ZMWX7,Baseball,Alleson,Under Armour,Twin City,2611,10
ZMWRZ,Baseball,Holloway,Badger,Badger,2786,4
ZMWGW,Wrestling,adidas,Port & Company,Augusta,3254,4
ZMW4Y,Track & Field,Badger,Port & Company,Under Armour,2522,5
ZMVWK,Cheer,Badger,Badger,Tultex,2262,5
ZMVCK,Field Hockey,Nike,District Made,Augusta,2434,4
ZMVBW,Other,Gildan,Sport-Tek,Port & Company,1995,4
ZMV9R,Soccer,High Five,Sport-Tek,Gildan,892,3
ZMV8W,Softball,Sport-Tek,Adams,Intensity,1200,6
ZMV6G,Dance,Holloway,Gildan,UltraClub,2513,4
ZMV46,Baseball,adidas,adidas,Misc.,3042,6
ZMV3A,Swimming,Sport-Tek,Gildan,TYR,2573,11
ZMUTE,Baseball,Port & Company,Rawlings,Under Armour,2080,6
ZMUTB,Softball,Under Armour,Gildan,Russell Athletic,2405,3
ZMURD,Apparel,Under Armour,Van Heusen,Port Authority,3110,3
ZMUJG,Baseball,Port & Company,Sport-Tek,District Made,1533,3
ZMUJC,Football,Nike,Under Armour,Russell Athletic,3645,3
ZMUHP,Apparel,Port Authority,Augusta,Badger,3634,3
ZMU86,Athletics,Russell Athletic,Holloway,Twin City,1519,5
ZMU3U,Volleyball,Russell Athletic,Gildan,Sport-Tek,2142,6
ZMU2J,Spirit Wear,Holloway,Oakley,J American,3971,5
ZMTMJ,Softball,Gildan,Badger,Pacific Headwear,1619,5
ZMTJJ,Volleyball,Gildan,Port Authority,Holloway,2532,4
ZMTCS,Softball,Badger,AlphaBroder,ChamPro,1890,6
ZMT9N,Apparel,Gildan,Pennant Sportswear,Sport-Tek,2520,17
ZMT6T,Baseball,Pacific Headwear,District Made,New Era,2455,5
ZMSW6,Football,Russell Athletic,Gildan,New Era,1634,4
ZMSFT,Football,adidas,ChamPro,Port & Company,2373,4
ZMRU9,Other,Nike,Nke,Cramer Protective Apparel,2856,4
ZMRRX,Spirit Wear,Port & Company,Sport-Tek,Badger,2038,5
ZMRMS,Baseball,Under Armour,Wilson,Nike,3422,10
ZMREQ,Baseball,Teamwork Athletic,Alleson,ChamPro,3438,6
ZMQWJ,Apparel,Gildan,District Made,Badger,1959,6
ZMQHF,Basketball,Gildan,Holloway,adidas,2593,8
ZMQ2F,Softball,Port & Company,ChamPro,Gildan,2092,6
ZMPBV,Other,Boxercraft,New Era,Bella + Canvas,2087,4
ZMPAP,Football,Russell Athletic,Badger,The Game,2121,5
ZMP6Y,Football,New Era,Port & Company,Alleson,1713,11
ZMP35,Baseball,District Made,Port & Company,Pacific Headwear,1670,8
ZMNYN,Lacrosse,Badger,Gildan,Bella + Canvas,2596,11
ZMNRG,Track & Field,adidas,Badger,Fruit of the Loom,2859,4
ZMNQP,Baseball,Holloway,Rawlings,Pacific Headwear,3302,4
ZMN7U,Softball,Easton,ChamPro,Badger,4522,4
ZMN7H,Apparel,New Era,District Made,Port & Company,1743,3
ZMMN8,Track & Field,Sport-Tek,Gildan,adidas,1675,8
ZMMH8,Spirit Wear,Delta Apparel,BAW,District Made,1417,4
ZMKZH,Baseball,The Game,Russell Athletic,Gildan,1511,4
ZMKJE,Baseball,Holloway,District Made,Port & Company,2393,3
ZMKBY,Cheer,Augusta,ProMarx,SOFFE,1707,5
ZMK8W,Basketball,Badger,Gildan,BAW,1557,3
ZMJPT,Softball,Augusta,Port Authority,Port & Company,2740,3
ZMJP2,Football,Pennant Sportswear,Gildan,Augusta,2312,7
ZMJHZ,Baseball,Port & Company,District Made,Under Armour,2564,3
ZMHWC,Hockey,Pennant Sportswear,Under Armour,Pacific Headwear,3105,6
ZMH5A,Cheer,Gildan,SOFFE,adidas,1993,5
ZMGZZ,School,Gildan,Boxercraft,AlphaBroder,1690,12
ZMGZ9,Track & Field,Gildan,Holloway,Sport-Tek,1571,3
ZMGN9,Other,Port Authority,Port Authority,The North Face,7240,4
ZMGFU,Football,Badger,Holloway,Augusta,3953,5
