Sale Code,Activity,1st Brand,2nd Brand,3rd Brand,Average Product Price,Brand Count
ZZCU7,Track & Field,Russell Athletic,District Made,Under Armour,2419,6
ZZCE3,Other,Gildan,Pennant Sportswear,Alleson,1579,7
ZZBTE,Baseball,Rawlings,High Five,Alleson,3051,5
ZZBQ6,Track & Field,Under Armour,Russell Athletic,Badger,2814,4
ZZBCU,Lacrosse,D1 Sports,New Era,Under Armour,2424,6
ZZBAK,Corporate,Port Authority,Gildan,Holloway,2786,10
ZZB77,Softball,Badger,Holloway,Gildan,2171,6
ZZB3U,Apparel,Sport-Tek,Bella + Canvas,Sportsman,4754,6
ZZACK,Corporate,Port Authority,Sport-Tek,Port & Company,2569,3
ZZAA8,Baseball,Holloway,Russell Athletic,Gildan,1998,6
ZZA3G,Lacrosse,Under Armour,Holloway,Gildan,2659,3
ZZ9TJ,Wrestling,Gildan,Sport-Tek,Bella + Canvas,1797,5
ZZ9MW,Swimming,Gildan,Hanes,adidas,1467,3
ZZ9FY,Other,Sport-Tek,Port & Company,Port Authority,2218,3
ZZ94N,Medical,Port Authority,Sport-Tek,Gildan,2722,4
ZZ8Y6,Baseball,Badger,Gildan,Holloway,1975,6
ZZ8Q6,Football,Augusta,Russell Athletic,New Era,2797,12
ZZ8MX,Baseball,Badger,Russell Athletic,Rawlings,2634,4
ZZ8GS,Cheer,Russell Athletic,Holloway,SOFFE,2786,6
ZZ8A7,Baseball,Pro-Look,Under Armour,ChamPro,2373,4
ZZ7VD,Soccer,Gildan,Sport-Tek,adidas,2363,6
ZZ7U3,Other,Sport-Tek,Eddie Bauer,New Era,3858,4
ZZ773,Soccer,Port & Company,Under Armour,Mueller,1348,3
ZZ75K,Other,Port Authority,Port Authority,Nike,2517,6
ZZ63J,Baseball,Badger,Augusta,Holloway,2227,6
ZZ5E2,Football,adidas,Holloway,Shock Doctor,2776,3
ZZ5BC,Baseball,Under Armour,Nike,Badger,3138,6
ZZ4TG,Football,adidas,The Game,Schutt,3910,3
ZZ4SS,School,Port Authority,Badger,Sport-Tek,2146,11
ZZ4S8,Other,Bella + Canvas,Port & Company,Gildan,1328,5
ZZ4CM,Hockey,Pennant Sportswear,Gildan,Boxercraft,1929,4
ZZ496,Volleyball,Gildan,High Five,Mizuno,1496,3
ZZ474,Baseball,Gildan,Sport-Tek,District Made,1665,5
ZZ45X,Baseball,Kelley Athletic,Outdoor Cap,Holloway,3962,5
ZZ3QP,Baseball,Easton,Under Armour,Holloway,2927,4
ZZ3P9,Other,Gildan,Badger,Sport-Tek,1750,6
ZZ3H2,Softball,Pennant Sportswear,Under Armour,New Era,2370,6
ZZ3EA,Spirit Wear,Gildan,Bella + Canvas,Badger,1446,6
ZZ32T,Other,Port Authority,Gildan,Gildan,3067,7
ZZ2TX,Cheer,Holloway,Pennant Sportswear,Pennant Sportswear,4678,3
ZZ2E6,Spirit Wear,Gildan,Russell Athletic,Alleson,2619,4
ZZ2CP,Softball,Team 365,Pennant Sportswear,Gildan,2072,4
ZYZXV,Medical,Sport-Tek,Port Authority,Port & Company,4417,6
ZYZQ5,Other,Port Authority,Ogio,Sport-Tek,2405,9
ZYZKM,Track & Field,Port & Company,adidas,Holloway,1815,4
ZYZGG,Apparel,Port & Company,Hanes,Sport-Tek,1700,4
ZYYQS,Swimming,Boxercraft,Sport-Tek,Gildan,1741,5
ZYYNS,Cross Country,Nike,Sport-Tek,Holloway,3621,3
ZYYG8,Softball,Gildan,Nike,Badger,2302,7
ZYXWB,School,Gildan,Under Armour,--,2023,5
ZYXUT,Basketball,Sport-Tek,Holloway,Port & Company,3122,6
ZYXNC,Lacrosse,Russell Athletic,Warrior,The Game,1985,4
ZYXKT,Other,CornerStone,Port & Company,Port Authority,1226,5
ZYXAX,Baseball,Martin,Pukka,Holloway,1726,3
ZYX2U,Volleyball,Gildan,Mizuno,Boxercraft,2240,9
ZYWMK,Lacrosse,Holloway,Augusta,Under Armour,2171,3
ZYWF6,Football,Sport-Tek,Hanes,Under Armour,2213,11
ZYWD5,Cross Country,Gildan,Holloway,adidas,2208,6
ZYW5C,Softball,Gildan,Sport-Tek,District Made,2150,4
ZYW37,Baseball,Gildan,Gildan,Badger,2109,3
ZYVTW,Baseball,Nike,Port & Company,The Game,2809,5
ZYVHV,Baseball,Holloway,Gildan,Pennant Sportswear,2335,18
ZYVEQ,School,District Made,Sport-Tek,Port Authority,2170,3
ZYV35,Apparel,Bella + Canvas,Nike,adidas,2394,6
ZYUXX,Apparel,Port Authority,Hanes,Sport-Tek,3310,3
ZYUW2,Lacrosse,Badger,New Era,Under Armour,2873,3
ZYUS5,Baseball,Port & Company,Holloway,Rawlings,1313,4
ZYU2F,Other,Cutter & Buck,Ogio,Nike,6404,9
ZYTZZ,Track & Field,Nike,Russell Athletic,Gildan,2281,7
ZYTZK,Baseball,Gildan,Sport-Tek,Ogio,2565,6
ZYTJS,Baseball,Under Armour,Holloway,Augusta,2852,9
ZYT95,Lacrosse,Under Armour,Columbia,Gildan,4630,4
ZYT3M,Soccer,Holloway,Port & Company,Outdoor Cap,1698,11
ZYSZ3,Baseball,Russell Athletic,Under Armour,Port & Company,2229,5
ZYSXR,Volleyball,adidas,Mizuno,Port & Company,3957,3
ZYSJZ,Baseball,ESG,Port & Company,Mizuno,1878,9
ZYSFF,School,Sport-Tek,Gildan,Sport-Tek,1383,6
ZYSE3,Staff,Gildan,Harriton,Tie Dye,1752,5
ZYS94,Baseball,Badger,Rawlings,Pacific Headwear,2469,4
ZYRX4,Other,Bella + Canvas,Holloway,Sport-Tek,2461,5
ZYQQ3,Soccer,Gildan,Russell Athletic,Pacific Headwear,1082,4
ZYQK3,Apparel,A4,SOFFE,Gildan,1544,7
ZYQHW,Volleyball,Gildan,Athletic Knit,Russell Athletic,1901,4
ZYQHQ,Holiday,Port & Company,Badger,Pacific Headwear,1590,6
ZYQB9,Spirit Wear,Team 365,ALPHA,ALPHA,2129,9
ZYQB8,Staff,Port Authority,District Made,CornerStone,2839,12
ZYPQR,Volleyball,Sport-Tek,Gildan,Gildan,2976,5
ZYPBV,Basketball,Nike,Gildan,Badger,2744,5
ZYP94,Other,Port & Company,Sport-Tek,adidas,2603,5
ZYP6E,Softball,Badger,Gildan,Holloway,3061,4
ZYP4N,Track & Field,A4,Port & Company,Gildan,1399,7
ZYNV2,Wrestling,Sport-Tek,Nike,Gildan,2044,6
ZYMV9,Baseball,Augusta,Badger,Gildan,2763,8
ZYMMZ,Baseball,Gildan,Holloway,Augusta,2111,4
ZYMBZ,Other,C.C. Creations,Otto Caps,Harriton,1772,6
ZYM7Y,Baseball,Gildan,Rawlings,Holloway,1896,4
ZYKU4,Field Hockey,Under Armour,Badger,Port & Company,2559,7
ZYKP5,Band Music & Choir,Port & Company,Port Authority,Russell Athletic,2166,4
ZYKC9,Other,Sport-Tek,Gildan,Team 365,1863,7
ZYKBW,Volleyball,Under Armour,Holloway,Gildan,2357,10
ZYJXK,Baseball,Alleson,Rawlings,Twin City,2264,10
ZYJXC,Apparel,High Five,Holloway,Badger,3194,10
ZYJ5U,Baseball,Gildan,Badger,Martin Sports,1243,8
ZYJ5A,Lacrosse,Under Armour,Holloway,Gildan,3022,10
ZYHVD,Other,Nike,Under Armour,Port & Company,3440,5
ZYHSQ,Football,Badger,Russell Athletic,Pennant Sportswear,2138,7
ZYHEK,Baseball,Holloway,Under Armour,Gildan,2960,4
ZYHEF,Volleyball,Port Authority,Badger,Outdoor Cap,1674,4
ZYH9M,Cheer,Augusta,Alleson,ALPHA,2178,4
ZYH4E,Baseball,Under Armour,Gildan,Sport-Tek,3012,3
