Products Style Number,Products Normalized Brand,Products Name,Transactions Net Units,Transactions Base Price Average
18500,Gildan,Gildan Heavy Blend Hooded Sweatshirt,247,$22.13
1717,Comfort Colors,Comfort Colors Garment Dyed Heavyweight Ringspun Short Sleeve Shirt S435402,210,$9.55
4120,Badger,Badger Adult B-Core Tee,152,$14.62
2000,Gildan,Gildan Adult Ultra Cotton® T-Shirt,137,$10.39
2400,Gildan,Gildan ® Ultra Cotton® Long Sleeve T-Shirt,137,$12.60
5000,Gildan,Gildan Men's Heavy Cotton 100% Cotton TShirt,132,$10.00
CW22,Champion,Champion Moisture Management Tee,131,$15.00
G500L,Gildan,Gildan Women's Ultra Cotton 100% Cotton TShirt,126,$10.00
5000,Gildan,100% Cotton T-Shirt - SENIORS,123,$16.50
8000,Gildan,Gildan Adult DryBlend 50 Cotton/50 Poly Short Sleeve T-Shirt,108,$9.36
G2000,Gildan,Gildan Ultra Cotton T-shirt - Unisex,100,$9.00
TTK,Twin City,Knee High Football Game Sock,95,$4.95
PC54,Port & Company,Port & Company Adult Core Cotton Tee,93,$6.67
8000,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt,92,$7.99
707,Richardson Headwear,Richardson Visor,90,$10.00
G185,Gildan,Gildan Heavy Blend Hooded Sweatshirt,88,$20.64
PC55,Port & Company,Port & Company - Core Blend Tee,85,$8.35
1268471,Under Armour,Under Armour Men's Short Sleeve Locker Tee,85,$20.66
CW23,Champion,Champion Ladies Moisture Management Tee,82,$15.00
ST350,Sport-Tek,Sport-Tek ® PosiCharge ® Competitor™ Tee,80,$12.20
5611P,Alleson,Alleson Adult Mesh Short w/2-Color Logo,79,$13.95
6014,Comfort Colors,Comfort Colors Adult Garment Dyed Heavyweight Ringspun Long Sleeve T-Shirt S435402,78,$12.90
2000,Gildan,Gildan Ultra Cotton® 6 oz. T-Shirt Navy Short Sleeve with 3 color Print Front and Back,76,$12.50
5000,Gildan,Gildan Adult Heavy Cotton 100% Cotton T-Shirt,75,$8.17
PC147,Port & Company,Tie-Dye Tee - JUNIORS,73,$16.50
