Products Style Number,Products Normalized Brand,Products Name,Transactions Net Units,Transactions Base Price Average
1254,Badger,Badger Adult Hooded Sweatshirt,72,$22.94
39TKR,Fruit of the Loom,100% Cotton Tank Top - SENIORS,71,$16.50
K524,Port Authority,Men's Port Authority Dry Zone Colorblock Ottoman Polo,70,$24.00
5670,Pennant Sportswear,Pennant Sportswear Washed Cord Crew S435402,67,$33.85
PC147Y,Port & Company,3a. Port & Company ® - Youth Tie-Dye Tee,66,$15.00
18500,Gildan,Grey Hooded Sweatshirt,66,$22.08
29M,Jerzees,Jerzees Adult Dri-Power Active T-Shirt,66,$7.00
5000,Gildan,SUPER FAN TEE- Gildan Heavy Cotton T-Shirt,65,$10.00
ST350,Sport-Tek,Sport-Tek PosiCharge Competitor Tee,65,$13.21
2000,Gildan,S/S Cotton Tee-Red,62,$10.00
TOCCJ,Rawlings,Short Sleeve Cage Jacket,62,$40.00
PC78H,LPP,Youth & Adult Hooded Sweatshirt,59,$21.50
222622,Holloway,2a. Holloway Youth Electrify 2.0 Shirt S/S,58,$16.00
4120,Badger,Badger Men's/Youth Graphite Core Tee,57,$12.99
5000B,Gildan,1a. Gildan - Youth Heavy Cotton 100% Cotton T-Shirt,57,$10.00
PTS40,Richardson Headwear,Richardson Cap,56,$17.00
PC55,LPP,Youth & Adult T-Shirt,55,$8.25
PC55LS,LPP,Youth & Adult Long Sleeve T-Shirt,54,$10.50
PC55,Port & Company,REQUIRED FOR ALL PRACTICES Core Blend Team Practice Tee,53,$12.00
PTWT,Twin City,Twin City Gold ProSport Sock,52,$6.00
BJ9127,adidas,REQUIRED FOR GAMES adidas Tastigo 17 Short,52,$15.00
5000B,Gildan,5a. Gildan - Youth Heavy Cotton 100% Cotton T-Shirt,50,$10.00
8000,Gildan,Short Sleeve Tee Shirt,50,$12.00
282 - Graphite,Pro Feet,282 Profeet Performance Multi-Sport Over-the-Calf Socks,50,$5.50
64030MK,Russell Athletic,Russell Athletic NuBlend Tee,50,$8.42
ST350LS,Sport-Tek,Sport-Tek Long Sleeve PosiCharge Competitor Tee,49,$15.46
2000,Gildan,Gildan Youth/Adult Ultra Cotton® T-ShirtHC,49,$6.50
PT42,Port Authority,Port Authority Beach Towel,49,$22.50
384407,Nike,Nike Legend S/S Poly Top w/2-Color Logo,48,$21.50
T050,Champion,Champion Ladies Cotton V-Neck,48,$13.00
5000,Gildan,Gildan 100% Cotton T-Shirt,48,$10.00
PC54,Port & Company,Port & Company - Core Cotton Tee **YOUTH AVAILABLE**,48,$8.00
282 - Navy,Pro Feet,282 Profeet Performance Multi-Sport Over-the-Calf Socks,47,$5.50
PC54,Port & Company,Port & Company 5.4-oz 100% Cotton T-Shirt,46,$9.91
LST850,Sport-Tek,Sport-Tek Ladies Sport-Wick Stretch 1/2-Zip Pullover,46,$33.11
4942,-,Ladies Volleyball Shorts,46,$13.00
996,Jerzees,Jerzees Adult Hooded Sweatshirt,45,$22.00
29M,Jerzees,Jerzees T-Shirt,45,$10.00
PC90H,Port & Company,Port & Company - Essential Fleece Pullover Hooded Sweatshirt,44,$21.21
404M,Pacific Headwear,Pacific Headwear Trucker Mesh Universal Fitted,44,$17.34
1276212,Under Armour,UA Ladies Black Striped Shooting Shirt with Printed Logos,43,$22.00
1295 - Navy/Graphite/White,Augusta,1295 Augusta Ladies Mystic Jersey w/Print and Number on back,43,$19.50
8000,Gildan,Gildan Ultra Blend Tee,43,$6.99
3001,Bella + Canvas,Bella + Canvas Unisex Jersey Short Sleeve Tee,43,$12.70
PC54,Port & Company,Port & Company - Core Cotton Tee,43,$9.26
1055 - White/Navy,Augusta,1055 Augusta Ladies Premier Jersey w/Print and Number on back,42,$19.50
1454,Badger,Badger Adult/Youth Graphite Fleece Hood,42,$30.00
1276212,Under Armour,UA Ladies White Striped Shooting Shirt with Printed Logos,42,$22.00
5000,Gildan,Gildan Adult Heavy Cotton 100% Cotton T-Shirt - Youth or Adult,42,$10.00
3931,Fruit of the Loom,Fruit of the Loom Adult 100% Heavy Cotton T-Shirt,42,$8.00
1969,Teamwork,Teamwork Girl's Jersey (REQUIRED),42,$21.50
18500B,Gildan,Gildan Youth Heavy Blend Hooded Sweatshirt,40,$20.03
6277,Flexfit,Flexfit Wooly 6-Panel Cap,40,$13.00
18500,Gildan,18500 Gildan Hooded Sweatshirt,40,$23.00
N5300 - Gunmetal,Intensity,N5300 Intensity Women's Baseline Pant,40,$20.00
"ST350, YST350",Sport-Tek,Hereford Baseball Fall Jersey,40,$20.00
1270242,Under Armour,UA Team Crew Socks - black,40,$9.00
1270242,Under Armour,UA Team Crew Socks - white,40,$9.00
G18600,Gildan,Gildan Heavy Blend 50/50 Full Zip Hoodie - Unisex,39,$19.00
White (5145693),adidas,REQUIRED FOR GAMES Adidas Team Speed Pro OTC,39,$11.00
2000,Gildan,Gildan ® - Ultra Cotton ® 100% Cotton T-Shirt,39,$9.78
18500,Gildan,Gildan Adult Heavy Blend Hooded Sweatshirt,39,$21.61
1467,Badger,Badger Fusion Hood,38,$35.00
337291,Nike,Nike Core Men's Training Hoodie w/2-Color Logo,38,$35.50
PTWT,Twin City,TCK White Prosport Sock,38,$5.99
4160,Badger,Badger Ladies Core Tee,38,$15.65
PC54LS,Port & Company,Port & Company - Long Sleeve Core Cotton Tee,37,$12.14
100016,Schutt,Schutt Football Belt,36,$5.00
LST353LS,Sport-Tek,Sport-Tek Ladies Long Sleeve PosiCharge Competitor V-Neck Tee,36,$14.75
TKP365,Tag,TAG Football Knee Pads,36,$9.95
1277,Badger,Badger Adult Open Bottom Pant,36,$20.31
NAVY (5145709),adidas,REQUIRED FOR GAMES Adidas Team Speed Pro OTC,36,$11.00
NE1000,New Era,New Era ® - Structured Stretch Cotton Cap,36,$12.36
5000B,Gildan,10a. Gildan - Youth Heavy Cotton 100% Cotton T-Shirt,36,$10.00
4120,Badger,S/S Dri Fit Team Tee Red,35,$13.50
