Products Style Number,Products Normalized Brand,Products Name,Transactions Net Units,Transactions Base Price Average
8000,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt - Screen Print - (#8000-G),39,$7.95
DM138L,District Made,DM138L District Made Ladies Perfect Tri Racerback Tank w/Embroidery,38,$9.50
1055,Augusta,Augusta Ladies Premier Jersey,36,$24.50
F14MW,Boxercraft,PLAID FLANNEL PANTS,35,$22.00
G2400,Gildan,Gildan DryBlend 50 Cotton/50 Poly Long Sleeve T-Shirt,35,$15.00
6001,Augusta,Augusta Adult Elastic Baseball Belt,35,$4.75
18500,Gildan,Gildan 18500 Heavy Blend Hooded Sweatshirt,34,$22.00
5000,Gildan,Gildan Cotton T-Shirt,34,$13.00
18500,Gildan,SHOW HOODIE Gildan Heavy Blend Hooded Sweatshirt,34,$20.00
4320,Badger,Badger Men's Pro Heather Tee,34,$17.00
4119,Badger,Badger B-Core Pocketed 10 Inch Short,33,$15.00
2425801475073Splsh,Splash Packaging,White VIP Hostess Box,33,$12.00
4109,Badger,Badger B-Core 9 Inch Short,32,$17.00
ST660,Sport-Tek,PLAYER REQUIRED: Sport-Tek ® Heather Contender™ Polo,31,$17.00
78181,Core 365,Core 365 Ladies' Origin Performance Piqué Polo,31,$20.00
4120,Badger,Badger Adult B-Core Tee,30,$12.96
996,Jerzees,PULLOVER HOODED SWEATSHIRT,30,$20.00
8800,Bella + Canvas,Bella + Canvas Women's Flowy Racerback Tank,30,$15.73
185000B/18500,Gildan,Gildan Heavy Blend Hooded Sweatshirt S,30,$18.00
3930R,Fruit of the Loom,Fruit of the Loom ® Heavy Cotton HD® T-Shirt,29,$8.00
37,SOFFE,LADIES SOFFE SHORT,29,$13.00
1265,Augusta,Augusta Women's Pulse Short,29,$18.00
G500,Gildan,MAROON KP T-SHIRT,29,$9.00
693HBM,Russell Athletic,Russell Athletic Adult Dri-Power Fleece Colorblock Hoodie,27,$28.00
5440,Augusta,Augusta Women's Spry Hoodie,27,$30.00
4162,Badger,Badger B-Core Ladies S/S V-Neck Tee,27,$14.54
3005 - script,Bella + Canvas,Epic large front Bella + Canvas Adult Unisex Jersey Short Sleeve V-Neck Tee,26,$15.00
1300123,Under Armour,Under Armour Hustle Fleece Hood,26,$40.00
29M,Jerzees,Jerzees Adult Dri-Power Active T-Shirt,26,$10.54
480115,Mizuno,Mizuno Adult Black/Diva Blue Performance Highlighter Crew Sock,26,$12.00
350462,Mizuno,Mizuno Girls Softball Knicker Belt Loop Pants,26,$32.50
325430,Augusta,Adult High Five Prevail Short,26,$12.00
1476,Badger,Women's Jogger Pant,25,$28.00
8000,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt,25,$7.65
2000,Gildan,Gildan Adult 100% Cotton T-Shirt Vintage design,25,$8.00
1254,Badger,Badger Adult Hooded Sweatshirt,25,$23.32
712,Alleson,Football Practice Jersey,25,$23.00
5100,Badger,Badger Sport Adult C2 Performance Tee,25,$14.83
973,Jerzees,GREY SWEATPANT,25,$18.00
A062,ChamPro,Champro Softball Belt,24,$5.00
200,Badger,Arm Sleeve,24,$12.50
229325,Holloway,Holloway Ladies Energize Short,24,$18.00
2400/5400,Gildan,Gildan 2400 Ultra Cotton Long Sleeve T-Shirt,24,$13.00
995MR,Jerzees,Jerzees Adult 1/4-Zip Cadet Collar Sweatshirt,24,$25.00
BP11,ChamPro,Champro Women's Tournament Traditional Low-Rise Pant,24,$17.00
5400L,Gildan,Gildan Women's Long Sleeve T-Shirt,24,$11.00
18000,Gildan,Gildan Adult Heavy Blend™ Crewneck Sweatshirt,24,$18.88
1475,Badger,Men's Jogger Pant,23,$28.00
