Products Style Number,Products Normalized Brand,Products Name,Transactions Net Units,Transactions Base Price Average
FFC-LeadSlipPadPinkBlack,Nelson Ad Pro,Lead Generating Notepads,251,$0.70
44700A - Black,Cherokee,44700A Cherokee Ladies V-Neck Scrub Top w/Embroidery,220,$16.50
18500,Gildan,Gildan Heavy Blend Hooded Sweatshirt,175,$21.36
64000,Gildan,Gildan Softstyle ® T-Shirt,160,$11.84
605wlb,Alleson,Alleson Adult/Youth Baseball Pants OPEN BOTTOM,149,$19.00
DM1170L - Black,District Made,DM1170L District Made Ladies Perfect Weight V-Neck Tee w/Embroidery,136,$10.00
8000,Gildan,Gildan DryBlend 50 Cotton/50 Poly Short Sleeve T-Shirt,135,$12.00
44101A - Black,Cherokee,44101A Cherokee Ladies Mid Rise Moderate Flare Drawstring Scrub Pant,126,$13.75
BlackPinkDotsHG,3crd,Hello Gorgeous Gift Boxes,114,$2.00
5000,Gildan,Gildan Adult Heavy Cotton 100% Cotton T-Shirt,104,$11.85
6031/6030/6035,Augusta,MESC Soccer Sock,103,$5.50
4100 - Black,Cherokee,4100 Cherokee Unisex Drawstring Cargo Pant,101,$9.50
8000,Gildan,Men's DryBlend 50 Cotton/50 Poly T-Shirt,87,$8.00
8000,Gildan,Gildan Adult Short Sleeve T-Shirt,82,$7.00
8400,Gildan,Men's DryBlend 50 Cotton/50 Poly Long Sleeve T-Shirt,76,$12.00
5100,C2 Sports,Badger C2 Performance Tee,76,$14.00
3BBA/3BBY,Alleson,Alleson Baseball Belt 1.5 Width,73,$6.41
18500,Gildan,Men's Heavy Blend Hooded Sweatshirt,71,$19.00
29M,Jerzees,Jerzees Adult/Youth Heavyweight Blend 50/50 Cotton/Poly T-Shirt,63,$11.00
5000-130463/130464,Gildan,Trax Show Shirt,63,$13.00
LM1008,Port Authority,LM1008 Port Authority Ladies Silk Touch Interlock Cardigan w/Embroidery,62,$19.00
2400,Gildan,Gildan ® Ultra Cotton® Long Sleeve T-Shirt,61,$13.90
4199,Badger,Badger Sport Adult B-Core S/S 1/4 Zip,61,$23.26
DM130,District Made,District Made ® Mens Perfect Tri ® Crew Tee,60,$12.20
8000,Gildan,Gildan Adult DryBlend 50 Cotton/50 Poly Short Sleeve T-Shirt,59,$11.51
2000/2000B,Gildan,Gildan 2000 Ultra Cotton T-Shirt,57,$10.00
Style 1,High Five,Sublimated High Five Jersey,57,$33.50
996,Jerzees,Jerzees Adult/Youth NuBlend Pullover Hooded Sweatshirt,57,$23.00
2000,Gildan,Gildan ® - Ultra Cotton ® 100% Cotton T-Shirt,57,$11.00
c1717,Comfort Colors,Game Day #2,55,$18.00
Style 2,High Five,Sublimated High Five Jersey,54,$33.50
c1717,Comfort Colors,Game Day #1,53,$18.00
18500,Gildan,Gildan Adult Hooded Sweatshirt,52,$20.00
h4m,ChamPro,RUBBERIZED MATTE FINISH PERFORMANCE BATTING HELMET,51,$28.26
8000,Gildan,Gildan Adult DryBlend 50 Cotton/50 Poly T-Shirt,51,$10.00
4164,Badger,Badger Ladies Core Long Sleeve Tee,48,$12.94
4980,Hanes,Hanes ® - Nano-T ® Cotton T-Shirt,46,$10.87
18500,Gildan,Gildan Adult Heavy Blend Hooded Sweatshirt,46,$20.63
2400,Gildan,Gildan Adult Long Sleeve T-Shirt,44,$11.00
PSAS,Pear Sox,Pear Sox All Sport Solid Socks,43,$4.00
LM2000 - Black,Port Authority,LM2000 Port Authority Ladies Knit Blazer w/Embroidery,43,$39.00
328030,High Five,High Five Athletic Sock,43,$4.50
LST356,Sport-Tek,Sport-Tek Ladies PosiCharge Competitor Racerback Tank,43,$8.98
8000,Gildan,Gildan - DryBlend 50 Cotton/50 Poly T-Shirt / CLASSIC,42,$8.25
3930,Fruit of the Loom,SHOW SHIRT Fruit of the Loom ® HD Cotton ™ 100% Cotton T-Shirt,42,$9.00
1717 - floral,Comfort Colors,floral back lc front Comfort Colors Adult Garment Dyed Heavyweight Ringspun Short Sleeve Shirt,41,$12.00
4103,Badger,Badger Ladies' B-Core 1/4 Zip,41,$28.85
4760,Badger,Badger Ladies B-Hot Tight,41,$30.00
2000L,Gildan,Gildan Women's Short Sleeve T-Shirt,40,$7.00
404M,Pacific Headwear,Pacific Headwear Trucker Mesh Universal Fitted,39,$19.46
2000,Gildan,Gildan Adult Ultra Cotton ® 100% Cotton T-Shirt,39,$9.86
222733,Holloway,Holloway Ladies' Space Dye Tank,39,$15.00
