Stores Sale Code,Stores Normalized Activity,Stores Has Theme (Yes / No),Stores Opens At Month Name,Stores Days Open,User Built By Omg (Yes / No),Stores Products Offered Sum,Products Count Products,Products Count Brands,Orders Count Orders,Transactions Net Units
YGJMY,Cross Country,No,October,12,No,29,10,4,22,41
XD7HS,Spirit Wear,No,October,11,No,54,28,7,27,71
ZE5B3,Band Music & Choir,No,September,5,No,4,3,2,20,40
Y4BM9,Other,No,October,36,No,10,10,5,14,52
XUNBM,Apparel,No,February,13,No,60,30,6,35,82
ZEAPN,Baseball,No,December,27,No,24,19,8,11,46
YJEX4,Soccer,No,October,27,No,40,5,3,3,8
XKF6X,Volleyball,No,January,35,No,39,24,7,49,96
ZZ2HN,Football,No,July,20,No,17,16,6,39,158
XJCKS,Other,No,June,40,No,1,1,1,19,20
YRMS7,Cross Country,No,August,8,Yes,32,29,10,32,121
XQ3NE,Lacrosse,No,September,17,No,20,19,6,22,64
YSTDB,Wrestling,No,October,33,Yes,10,7,2,22,59
ZNFPR,School,No,April,13,No,17,7,3,5,10
XEEXS,Basketball,No,November,23,No,21,12,5,24,48
YNFSQ,Swimming,No,October,10,No,39,10,1,24,60
ZGVVS,Baseball,Yes,October,22,No,48,27,3,67,456
XE66C,Baseball,No,February,17,No,7,1,1,1,1
XMDTS,Field Hockey,No,September,31,No,28,11,7,15,33
XPB27,Other,No,November,14,No,5,5,2,14,22
Y9B5G,Lacrosse,No,March,6,No,22,8,1,4,18
YQXXS,Wrestling,Yes,December,25,No,40,27,7,18,77
XTY7T,Fundraiser,No,December,11,No,6,5,1,26,73
YBFJ3,Band Music & Choir,No,September,7,No,15,8,3,150,292
ZYGMZ,Soccer,No,May,8,No,1,1,1,15,26
Y8BH9,Track & Field,Yes,February,32,No,14,8,2,65,163
XRC5T,Track & Field,Yes,December,21,No,11,8,5,27,57
ZNZ7V,Other,No,January,20,No,9,6,3,7,20
YHV7A,Apparel,No,November,31,No,16,11,7,50,78
Z3NCY,School,No,August,28,No,15,8,4,9,14
ZAS7S,Cheer,No,October,26,No,41,13,6,17,38
XQPJX,Baseball,No,February,17,No,44,24,6,12,60
XF4YY,Soccer,No,August,11,No,16,8,3,5,40
Y37TN,Other,No,January,27,No,15,9,4,11,56
ZEQH8,Cheer,Yes,April,56,No,4,4,2,17,32
Y4UNY,Baseball,No,November,39,No,19,14,1,17,78
XGYP7,Volleyball,No,November,92,No,17,12,8,62,143
ZREJP,Other,Yes,January,8,No,7,4,1,9,12
ZZFDS,Track & Field,No,January,20,No,8,7,2,24,69
ZK4RF,School,Yes,July,24,No,62,6,1,8,18
XT9D6,Basketball,No,October,33,No,12,8,5,26,84
ZZWDW,Spirit Wear,No,September,87,No,15,9,3,9,19
YRJ65,Lacrosse,No,September,17,No,6,6,1,38,48
ZUEXC,Booster Club,No,February,28,No,126,34,10,23,58
YET7V,Soccer,Yes,July,11,No,10,6,2,15,49
YDGGN,Spirit Wear,No,August,33,No,25,16,6,16,28
YB65B,Other,Yes,February,19,No,29,18,4,27,65
Y7U2S,Soccer,No,November,17,No,14,12,2,27,109
ZKXSQ,Cross Country,No,August,8,No,2,2,1,10,22
ZYCMB,Wrestling,No,October,21,Yes,88,25,12,34,192
XUKQF,Softball,No,April,11,No,6,5,2,9,31
YBK5Q,Fundraiser,No,October,29,No,16,13,5,99,284
YQNP7,Basketball,Yes,December,12,No,48,8,4,5,9
Y94DR,Spirit Wear,No,October,56,No,70,3,1,2,4
Z64K3,Wrestling,No,December,13,No,5,2,1,2,5
YV9W2,Track & Field,No,December,10,Yes,7,7,4,50,122
XT2SZ,Softball,No,October,7,No,87,9,3,4,20
XGW37,Apparel,No,August,13,No,2,2,1,14,20
XUJBQ,Hockey,No,July,14,No,20,20,5,52,83
Z8UW6,Other,No,February,7,No,31,30,5,7,1098
Y85DY,Basketball,No,November,10,No,10,4,4,2,5
Z4D4V,Basketball,No,November,10,No,44,29,10,57,197
Y32CV,Basketball,No,November,56,No,35,10,5,14,28
ZH73M,Athletics,No,December,17,No,6,6,1,6,12
Y3HXV,Rowing,No,October,15,No,25,21,12,32,122
ZKK7R,Basketball,No,October,29,No,8,6,5,10,42
XGCSG,Other,No,August,19,No,11,9,3,18,44
Z4RXY,Track & Field,No,May,39,No,17,2,1,22,23
YN2ME,Benefit,No,January,10,No,5,5,2,44,114
ZGSV7,Medical,No,May,24,No,15,14,2,36,108
YPM7K,Basketball,No,January,6,No,20,3,2,2,3
YZZ83,Athletic Training,No,February,14,No,2,2,1,25,28
ZJMWA,Basketball,No,November,9,No,40,18,7,18,35
ZXBEE,Spirit Wear,No,July,31,Yes,22,3,1,4,0
Y3SB7,Volleyball,No,August,15,No,17,12,5,40,168
XKYAD,Volleyball,No,January,6,No,32,17,4,24,82
ZB9GN,Basketball,No,November,10,No,8,8,4,25,71
Z5AXK,Spirit Wear,No,October,24,No,11,4,2,4,7
ZSXHE,Basketball,Yes,October,18,No,21,13,2,33,110
Y35J6,Soccer,No,August,31,No,11,5,4,8,18
ZKHAQ,Soccer,No,August,1,No,4,4,2,9,21
XT37T,Hockey,No,April,31,No,38,9,1,15,46
YTRQ4,Volleyball,No,January,28,No,13,9,5,11,32
YYGB8,Baseball,No,May,11,No,2,2,1,10,21
Y8UUG,Baseball,No,April,11,No,26,21,5,22,58
YVWPA,Football,No,July,9,No,2,2,1,31,68
ZW6VP,Basketball,No,September,15,No,9,7,3,6,16
YHA8Z,Hockey,No,June,189,No,62,2,1,1,2
ZSF4C,Football,No,April,33,No,8,8,1,48,210
Y3785,Spirit Wear,No,October,31,No,40,18,7,23,38
ZGX6S,Soccer,No,February,3,No,15,3,2,9,24
ZZFP3,Spirit Wear,No,October,28,No,12,3,3,3,3
Y5EGV,Other,No,October,7,No,5,5,5,7,14
ZJ45C,Football,No,July,9,Yes,4,4,1,15,51
YCMES,Other,No,September,45,No,23,12,3,11,16
Z9MVD,Hockey,No,December,16,No,36,9,4,8,20
YSBTM,Lacrosse,Yes,October,103,No,45,14,8,8,33
ZSEH4,Lacrosse,No,April,10,No,5,5,3,11,31
Y8492,Volleyball,No,August,9,No,6,4,3,14,31
XQFEZ,School,No,January,18,Yes,5,3,1,22,37
XG975,Football,No,April,19,No,2,2,1,17,35
XZDZ3,Spirit Wear,No,September,47,No,13,8,3,10,28
YS99J,Spirit Wear,No,April,7,No,2,2,2,44,46
YUWME,Baseball,Yes,January,18,No,54,27,8,10,54
Z8UV9,Basketball,No,April,6,No,3,2,1,2,2
ZJ44K,Apparel,No,December,30,No,19,3,2,2,3
ZVRC6,Field Day,No,April,23,No,8,8,2,63,111
XSC7S,Hockey,No,December,60,No,12,3,1,15,42
ZH75J,Soccer,No,August,18,No,30,14,4,10,31
YMC6Q,Baseball,No,May,11,No,8,4,1,11,33
XWCRE,Baseball,No,February,20,No,27,16,8,33,163
XSP6Y,Football,No,September,16,No,31,9,4,7,16
XG8Q8,Softball,No,December,17,No,4,3,2,9,19
YHBGB,Staff,No,August,23,No,6,1,1,1,0
ZTMG2,School,No,November,21,No,1,1,1,10,0
Z77Z2,Baseball,No,May,26,No,9,9,5,16,48
ZF9KF,Wrestling,No,October,29,Yes,12,9,3,16,28
Z2AFB,Basketball,No,October,12,No,10,4,1,29,97
YK9J4,Cross Country,No,October,9,No,1,1,1,13,19
Y8HET,Football,No,August,13,No,35,32,11,64,180
YF6W7,Lacrosse,No,February,10,No,14,14,3,30,123
ZS5TX,Swimming,No,June,10,Yes,30,26,10,36,107
XK2MN,Soccer,No,October,20,No,19,14,1,23,120
ZA6FD,School,No,September,10,No,3,2,1,7,9
YTVPN,Soccer,No,July,34,No,8,4,1,4,16
YSYDF,Other,No,October,32,No,13,4,2,6,8
ZGNG2,Basketball,No,November,24,No,18,13,5,33,110
ZZWAK,Other,No,May,15,No,12,8,3,8,17
XW7YQ,Basketball,No,November,21,No,54,38,8,44,158
YDSNC,Cheer,No,April,74,No,1,1,1,44,61
ZSXU9,Water Polo,No,July,17,No,1,1,1,31,40
XN42P,Basketball,No,November,10,No,29,6,1,3,8
YKB8D,Football,No,July,20,No,20,17,7,40,190
ZW9QB,Volleyball,No,June,34,No,28,17,7,68,134
ZG64U,Baseball,No,October,32,No,64,51,14,48,332
ZTTQ3,Wrestling,No,November,18,No,25,9,4,51,210
YSVZQ,Fundraiser,No,May,11,No,1,1,1,89,146
YE8EE,Softball,No,February,13,No,15,14,8,18,61
Z3EKX,Baseball,No,November,18,No,32,13,6,9,0
XWHRK,Faith,No,August,33,No,17,14,6,52,131
ZBEQD,Basketball,No,November,15,No,22,14,6,14,32
YAT8D,Apparel,No,November,27,No,15,8,6,12,18
XHHUB,Spirit Wear,No,August,52,No,15,14,4,35,78
XK5KV,Football,No,August,11,No,8,6,1,11,19
Y8946,Lacrosse,No,May,17,No,2,1,1,6,6
XQPZ6,Spirit Wear,Yes,December,47,No,21,16,5,23,62
ZF2RD,Soccer,No,January,53,Yes,7,4,2,16,42
XUPYR,Other,No,December,15,No,24,23,3,30,104
YYFXU,Cross Country,No,August,23,No,24,17,1,12,33
ZHRVG,Basketball,No,September,21,Yes,16,10,1,13,76
YC6TJ,Other,Yes,November,6,Yes,11,5,1,5,74
ZPZDP,Other,No,January,18,No,3,3,1,5,12
YZEEW,Athletics,No,October,29,No,10,6,5,16,22
YJVTP,Corporate,No,December,30,No,89,12,7,5,19
YGUWA,Softball,Yes,March,10,No,12,8,4,11,27
YAS4P,Other,No,August,16,No,18,7,5,5,14
YPDCQ,Swimming,No,August,28,No,10,8,2,20,47
XW9GF,Other,No,November,14,No,10,6,2,12,26
ZW4U6,Soccer,Yes,May,14,No,27,24,5,32,163
YJ8UF,Apparel,No,October,35,No,17,15,7,35,106
XQQGP,School,No,August,40,No,23,8,5,8,14
YAUZP,Cross Country,No,August,14,No,9,5,1,12,28
XM64D,Apparel,No,December,30,No,7,6,1,6,22
XFJ3W,Football,No,July,14,No,27,11,6,8,20
YN6PN,Athletics,No,September,5,No,14,7,1,7,15
ZVAJC,Golf,No,October,9,No,22,13,7,25,64
ZNHF6,Other,No,May,32,No,27,7,4,2,12
ZMYG2,Football,Yes,March,7,No,77,38,1,54,167
ZNQKG,Hockey,No,October,33,No,19,14,4,33,104
YUWWK,Soccer,No,May,20,No,7,7,1,42,109
ZEZNR,Softball,No,November,13,No,18,15,5,16,46
YNHFY,Spirit Wear,No,December,8,No,12,10,3,19,35
XUT3E,Softball,No,October,5,No,19,18,6,43,193
YXGCJ,Other,No,November,4,No,44,1,1,1,4
XSZUJ,Football,No,April,10,No,9,1,1,1,1
Y4FRZ,Wrestling,Yes,January,24,No,25,15,6,10,32
YEYVR,Volleyball,No,January,10,No,45,30,5,32,80
Z9REZ,Gymnastics,No,February,2,No,2,2,1,50,102
YNZZ5,School,No,October,39,No,33,21,9,29,62
XP6ST,Lacrosse,No,August,8,No,37,12,8,9,32
XD3BT,Football,No,October,15,No,37,26,8,42,155
XY4SU,Other,No,February,9,No,2,1,1,59,113
ZHDWE,Apparel,No,September,7,No,38,16,3,7,20
ZVJDF,Other,No,November,12,No,14,9,4,11,19
Z9BUG,Spirit Wear,No,August,27,No,10,10,3,55,92
ZSGSX,Baseball,No,April,15,No,9,9,3,25,68
ZCEXT,Baseball,No,April,24,Yes,33,24,10,41,162
XU9NU,Baseball,No,November,17,No,24,13,1,18,92
ZKAQY,Other,Yes,January,38,No,111,3,1,1,3
XKCUH,Football,No,July,20,Yes,15,13,4,21,37
XG8UJ,Basketball,No,October,6,No,1,1,1,10,11
YD3F9,Other,No,May,28,No,11,10,7,19,55
YBB88,Other,No,February,9,No,18,11,3,20,38
XRNTZ,Baseball,No,October,15,No,48,28,5,19,136
ZKWSR,Baseball,No,January,20,No,14,5,1,9,9
YRP8A,Lacrosse,No,April,13,No,16,5,3,4,6
ZYFHW,Other,No,December,84,No,88,24,6,6,34
XZSK3,Other,No,February,9,No,14,8,2,13,27
YCJWA,Baseball,No,April,58,No,11,5,3,2,36
Y2R8Y,Band Music & Choir,No,January,57,No,7,6,1,103,153
XV7XW,Wrestling,No,March,11,No,2,2,1,29,71
ZCAK5,Basketball,Yes,September,10,No,21,16,2,31,135
ZHF9B,Golf,No,August,20,Yes,13,6,4,3,10
Z3RUW,Baseball,No,October,20,No,41,27,9,19,78
ZMP3Q,Football,No,July,14,No,9,9,1,9,27
Z98YK,Football,Yes,September,58,Yes,10,10,2,54,147
Y4PM7,Softball,Yes,September,178,No,30,13,6,22,116
XG9S4,Soccer,No,August,170,No,42,6,2,4,9
YPWJY,PE,No,August,17,No,28,27,5,107,349
XJ88P,Basketball,No,October,17,No,10,8,1,17,59
YFNW6,Football,No,September,7,Yes,35,10,1,9,16
YPJFE,Baseball,Yes,December,13,No,24,6,4,1,6
ZR3TK,Lacrosse,No,January,16,No,17,13,6,33,101
Y4YQU,Spirit Wear,No,April,21,No,15,8,3,13,29
YU48S,Football,No,September,27,No,5,5,2,8,15
ZAHAW,Football,No,October,3,No,5,5,2,99,225
Y8KDX,Staff,No,November,16,No,18,8,6,7,12
XGEF9,Football,No,August,10,No,45,11,5,5,19
XQSWG,Spirit Wear,No,November,21,No,49,2,1,1,6
XJBMZ,Apparel,No,October,26,No,29,16,8,11,37
ZH36Q,Football,No,June,19,No,13,10,1,75,236
YX63Q,Apparel,No,November,31,No,8,6,4,20,37
YRJH4,School,No,August,40,No,23,14,6,22,36
YKY7P,Track & Field,No,November,15,No,1,1,1,10,12
Y8QND,Basketball,No,December,10,No,26,5,1,2,6
YVB7D,Baseball,Yes,February,14,No,39,21,4,19,61
Y4977,Other,No,July,16,No,7,6,2,13,38
Z8E43,Other,No,September,4,No,7,5,1,53,84
ZZU5B,Baseball,No,June,1,No,4,3,1,52,128
XJ3WP,Baseball,No,October,12,No,40,26,5,30,67
XG982,Baseball,No,January,14,No,26,19,1,16,52
XD989,Football,No,April,36,No,15,6,1,2,6
XJK5Q,Other,No,May,18,No,13,12,3,48,259
ZVNUH,School,No,January,17,No,8,5,4,11,16
ZSJUD,Softball,No,February,10,No,54,37,15,39,150
ZR6ZM,Baseball,No,June,3,No,8,6,4,9,19
XP8CF,School,No,October,20,No,19,13,3,9,29
Y7F2S,Softball,No,March,10,No,13,8,2,7,25
YVAK8,Baseball,No,June,14,No,1,1,1,5,8
ZT85T,Lacrosse,No,January,25,No,8,8,3,124,250
Z7P5C,Other,No,September,26,No,8,3,1,14,26
YU7AB,Apparel,No,October,46,No,25,21,10,33,72
YKSK7,Band Music & Choir,No,October,31,No,7,6,2,27,56
ZW98S,Softball,No,September,8,No,19,7,4,5,13
XYH7M,Basketball,Yes,February,1,No,4,2,1,1,4
Z9YYY,School,No,January,24,No,15,6,3,29,44
Y38WV,Swimming,No,December,38,No,3,2,1,3,3
XJSFY,Football,No,October,4,No,12,11,5,10,32
XYX42,Spirit Wear,No,November,13,No,50,21,9,7,32
XSA82,Other,Yes,February,10,No,12,2,1,1,2
ZU5WS,Other,Yes,June,41,No,14,8,1,8,12
XRN8Q,Spirit Wear,No,August,20,No,10,10,2,63,148
YEK29,Cross Country,No,September,7,No,10,9,3,26,37
YDFM2,Golf,No,February,13,No,24,10,6,10,34
ZE6CH,Corporate,Yes,September,98,No,65,31,10,28,121
YQEZ5,Apparel,No,July,99,No,55,11,6,2,18
YRJFS,Softball,No,July,14,No,41,24,8,22,92
YSN8B,Baseball,Yes,January,47,No,27,12,1,6,23
ZHE75,Softball,No,February,21,No,20,13,2,17,67
Y6QU8,Lacrosse,Yes,August,17,No,28,24,13,84,219
ZMXSV,Softball,No,September,40,No,14,13,1,22,84
ZA7SE,Baseball,No,March,6,No,32,23,3,37,119
XDHTW,Football,No,August,8,No,11,10,6,47,180
ZE6UC,Corporate,Yes,February,18,No,2,2,1,12,23
XGYE2,Soccer,Yes,January,6,No,4,4,1,23,59
YUCV5,Other,No,October,8,Yes,8,6,1,10,20
Z9NDR,Corporate,No,September,21,No,32,4,3,3,5
YS325,Other,Yes,October,18,No,13,2,1,12,19
XM77A,Gymnastics,No,November,12,No,4,3,2,14,18
XZR2F,Baseball,No,November,11,No,21,20,1,34,425
YNGSS,Track & Field,No,January,34,No,7,7,3,24,52
XP5U2,Volleyball,No,August,12,No,6,6,2,24,58
ZXQWD,School,Yes,January,20,No,17,3,2,3,4
ZQBVH,Apparel,No,November,18,No,5,5,5,13,31
YVY7X,Track & Field,No,May,2,No,2,2,1,8,22
YRQJY,Golf,No,July,15,Yes,8,5,1,12,28
XTC4W,Other,No,May,32,No,67,51,4,248,1588
YJ2F2,Other,No,October,5,No,13,1,1,1,1
ZCRPR,Baseball,No,January,35,No,12,10,3,23,72
Y4KGS,Field Hockey,No,November,4,No,31,4,4,2,6
Z887Z,Football,No,February,5,No,2,1,1,12,12
ZMKNA,Other,No,November,33,No,3,3,1,12,17
YW426,Staff,No,March,6,No,35,1,1,2,2
ZA8KE,Lacrosse,Yes,March,0,No,28,21,9,38,140
XUQJB,Staff,No,April,14,No,36,6,3,3,24
YERAC,Tennis,Yes,August,5,No,10,10,2,14,41
YVKEK,Hockey,No,October,27,No,20,14,5,25,76
YGRRZ,Dance,No,August,31,No,40,17,9,33,84
YQ85R,Track & Field,Yes,March,11,No,35,19,6,17,40
ZV7B8,Spirit Wear,No,January,32,No,8,6,6,21,29
YVA5V,Other,No,November,17,No,12,4,3,4,6
ZXXMQ,Baseball,No,April,6,No,26,10,4,6,17
ZHTTD,Golf,No,August,11,No,24,10,6,8,21
ZZPZN,Baseball,No,October,20,No,15,7,5,12,66
XDBME,Football,No,July,21,Yes,14,14,6,34,166
ZZ63J,Baseball,No,December,20,No,37,16,6,6,27
XQM9G,Spirit Wear,No,August,55,No,18,16,6,53,86
Y9YPX,Spirit Wear,No,May,5,No,14,2,2,1,2
XHPVY,Basketball,No,October,9,No,29,8,3,11,57
XWJBH,Soccer,No,November,25,No,6,5,1,16,36
XYS32,Dance,No,August,14,No,3,3,1,4,5
YD29Q,Soccer,No,November,13,No,16,14,5,22,52
Y2Q4Q,Lacrosse,No,February,11,No,16,15,2,21,49
YYHBR,Basketball,No,October,19,No,16,15,3,11,103
XHNUX,Swimming,No,October,33,No,8,5,1,15,27
YC5P6,Hockey,No,March,3,No,8,8,2,185,484
XF2ZW,Volleyball,No,July,18,No,23,23,12,63,212
YXARU,Other,No,September,18,Yes,12,8,4,27,48
Y6RXB,Basketball,No,May,16,No,8,3,1,4,6
YZEWM,Baseball,Yes,January,31,No,25,22,7,23,84
ZTCWX,Softball,No,February,6,No,24,17,5,24,110
XP2UT,Soccer,No,September,22,No,11,9,1,29,90
Z2W9H,Football,Yes,April,120,No,22,10,4,11,33
ZHNFF,Other,No,October,19,No,13,2,1,1,2
Y7SJP,Other,No,August,8,No,12,11,3,52,69
YVQ9V,Field Day,No,April,19,No,8,8,2,64,101
YTAEY,Football,No,June,10,No,35,21,1,35,112
ZFY2R,Lacrosse,No,January,28,No,21,5,3,6,10
ZV9SG,Soccer,No,April,7,No,4,4,2,12,31
XGJ9K,Other,No,October,15,No,15,15,4,107,173
XVZEK,Hockey,No,April,31,No,29,8,2,13,44
ZTQND,Baseball,No,December,36,No,275,57,11,27,81
YE3W4,Basketball,No,November,22,No,4,4,1,43,57
YNZMU,Other,No,January,37,No,9,5,2,11,12
ZSZHS,Basketball,Yes,October,44,No,87,9,3,9,15
XKY3P,Spirit Wear,No,February,10,No,44,7,4,7,15
ZHKYJ,Softball,No,May,20,No,32,6,4,3,6
XEQWE,Softball,No,March,11,No,12,12,7,24,114
YB24H,Football,Yes,May,11,No,23,17,2,18,58
XFMAZ,Other,No,April,54,No,37,30,10,54,437
XH6MZ,Staff,No,October,27,No,30,13,6,15,34
ZQZQN,Apparel,No,August,21,No,32,15,1,15,31
YRZA5,Soccer,No,June,42,No,49,18,6,10,37
Y68MF,Cross Country,No,September,14,No,12,10,4,23,36
YHWGK,Cross Country,No,August,21,No,9,9,6,11,33
YERNU,Soccer,No,April,8,No,5,5,2,13,25
XF57F,Band Music & Choir,No,August,8,No,6,6,4,17,32
YMCBS,Baseball,No,June,15,Yes,19,3,3,2,0
YRRG9,Baseball,No,June,7,No,24,19,8,47,134
ZD6TD,Volleyball,No,February,16,No,10,3,2,10,18
YDZXY,Corporate,Yes,July,3,Yes,6,2,2,2,0
YQP9A,Other,No,August,31,No,4,2,1,31,53
XU9DP,Swimming,No,August,34,No,66,34,9,44,142
ZBFFB,Track & Field,Yes,January,21,No,10,8,3,16,67
YZ47G,Other,No,December,31,No,1,1,1,19,37
XFBUK,Baseball,No,November,25,No,14,8,2,23,57
XFTXF,Spirit Wear,No,May,9,No,56,46,13,98,235
Y6ND7,Basketball,Yes,October,12,No,42,11,1,5,23
YSHB3,Football,No,May,34,No,7,6,2,10,30
Z528C,Other,No,December,35,No,24,4,2,6,13
XTJV9,Cheer,No,September,3,No,40,6,4,3,9
Y4GB8,Football,No,August,20,No,22,12,8,9,21
ZZZNM,Other,Yes,February,24,No,15,9,3,37,49
XV2M2,Camp,No,May,24,No,3,3,1,9,100
YXHB9,Basketball,No,March,5,No,0,0,0,31,98
ZZX5Q,Basketball,No,November,18,No,24,11,6,6,16
XXNMC,Other,No,November,12,Yes,29,27,8,52,133
YW98Z,Softball,No,January,7,No,13,11,7,8,21
YM26U,Apparel,No,September,27,No,7,6,2,12,26
Y8XSD,Benefit,No,September,8,No,2,2,1,58,136
YPP72,Apparel,No,October,41,Yes,22,1,1,1,1
Y7EHB,Apparel,No,September,18,No,5,5,1,25,25
Z74JT,Other,No,April,41,No,10,2,1,6,11
ZJP8M,Softball,No,November,34,No,14,6,4,9,30
Z8569,Baseball,No,June,3,No,41,24,5,31,84
Y5JKJ,Cross Country,No,July,29,No,9,7,6,12,15
ZHWFQ,Field Hockey,Yes,May,25,Yes,11,7,2,10,20
Z7FZ5,Volleyball,Yes,August,27,No,32,16,1,39,226
Y5WBG,Softball,No,January,17,No,29,15,8,19,75
Y7U54,Other,No,July,13,No,2,2,1,18,30
YPZKA,Spirit Wear,No,April,8,No,6,4,2,4,6
XVH76,Wrestling,No,October,13,No,47,22,10,49,247
YBNZU,Baseball,No,February,16,No,1,1,1,2,34
ZPYM8,Baseball,Yes,January,7,No,15,13,7,12,65
Z3W6E,Baseball,Yes,January,29,No,29,22,10,66,402
ZNQDC,Other,Yes,September,19,No,4,4,1,12,16
ZTMPX,Dance,No,July,9,No,12,5,4,26,35
XUQXP,Wrestling,No,November,31,No,15,15,3,48,200
YXSDQ,Soccer,No,February,10,No,11,4,2,9,16
ZX8K3,Baseball,No,September,20,No,66,13,2,11,30
ZJJAE,Lacrosse,Yes,January,32,No,53,14,5,49,98
YE35G,Softball,No,December,0,No,40,21,7,26,103
YF3A2,Golf,No,February,24,No,13,6,4,6,0
ZUZ3B,Soccer,Yes,January,31,No,30,14,5,10,32
ZUQKW,Football,No,August,14,Yes,33,16,4,57,163
XNNV7,Golf,No,October,11,No,7,5,1,18,48
XRFK4,Soccer,No,August,5,No,4,3,3,6,18
ZEU3J,Volleyball,No,August,17,Yes,24,10,1,14,36
YBYQD,Cheer,No,November,18,No,11,6,3,10,20
ZSBWC,Basketball,No,November,15,Yes,20,12,2,9,23
ZVNQ9,Apparel,No,November,19,No,26,13,6,16,32
XUF8H,Other,No,January,37,No,5,2,1,393,635
ZN2UP,Other,No,June,3,No,1,1,1,9,13
XZGKX,Water Polo,No,July,18,No,2,2,1,16,20
XD2BD,Greek,No,February,8,No,2,2,1,39,39
YVQH8,School,No,December,33,No,12,6,2,4,0
YHWKR,Other,No,November,56,No,9,1,1,1,4
YS4WF,Volleyball,No,August,7,No,14,1,1,1,2
ZNR3J,Cheer,No,August,11,No,6,2,1,12,23
XMRWU,Soccer,No,August,19,No,26,14,6,15,37
Z2VEJ,Corporate,No,June,14,No,14,7,6,9,24
YZ5HU,Other,No,November,27,No,11,1,1,1,1
ZXQUR,Volleyball,No,October,19,No,37,19,10,65,266
YGHKM,Basketball,Yes,August,16,No,23,10,5,17,55
YJ2Y4,Softball,No,June,18,No,23,21,4,24,182
ZFZHB,Apparel,No,December,19,No,4,2,1,41,82
YK79B,Wrestling,No,April,40,No,6,3,2,5,3
ZWMPD,Other,No,October,3,No,1,1,1,6,7
ZRHCV,Cheer,No,January,14,No,17,7,4,10,24
XEBHM,Corporate,No,September,8,No,2,2,1,71,119
ZV92F,Golf,No,February,14,No,91,11,4,6,16
Y52GE,Soccer,Yes,September,9,No,33,14,5,24,55
XXJQ2,Hockey,No,September,41,No,41,18,6,22,69
YDMK8,Race,No,August,31,Yes,2,1,1,7,12
ZERUP,Baseball,No,February,15,No,20,12,1,21,124
Y5PX8,Lacrosse,No,January,18,No,49,35,13,30,121
XQS4Z,Lacrosse,Yes,January,56,No,20,19,6,39,156
XDHYX,Other,No,May,13,No,4,3,1,13,17
YDDK7,Volleyball,No,August,15,No,8,5,2,39,121
Y58U5,Football,No,June,16,No,1,1,1,8,25
YG2AZ,Athletic Training,No,July,21,No,10,6,1,6,12
Z7F24,Swimming,No,April,26,No,27,6,5,2,9
Z7KA8,Cross Country,No,August,18,No,19,13,6,27,92
Y6RHJ,Baseball,No,February,21,No,10,5,4,5,14
Y8RKJ,Baseball,No,June,3,No,1,1,1,2,5
YKQSH,Spirit Wear,No,November,17,No,8,8,2,55,87
Y3QB2,Apparel,No,October,19,No,20,8,2,14,15
Y4FWT,Field Hockey,No,July,76,No,10,8,2,12,33
Y6KQ3,Other,No,February,27,No,22,14,3,23,73
XEKSH,Basketball,Yes,January,10,No,1,1,1,22,25
YJRZ4,Staff,No,January,15,No,17,13,6,24,41
Z25UB,Reunion,No,September,26,No,41,8,3,13,19
ZDD9D,Football,No,July,21,No,17,16,9,25,102
ZU6UF,Spirit Wear,No,October,27,No,10,6,1,5,8
XX288,Lacrosse,No,September,17,No,10,4,1,30,111
ZASPA,Greek,No,October,11,No,1,1,1,27,32
ZYP9R,Other,Yes,October,48,No,33,28,2,102,297
YVT8D,Football,Yes,August,10,No,33,8,2,1,21
ZJYTS,Volleyball,No,July,1,No,29,5,1,8,18
YX3HF,Dance,No,February,9,No,31,4,3,2,5
Z6Q7G,Athletic Training,No,January,17,No,3,2,1,8,15
Z9HTE,Football,No,August,13,No,32,17,5,13,39
XQZJ6,Basketball,No,August,20,No,36,23,3,97,324
XZGHX,Baseball,No,September,7,No,10,8,7,12,53
XHDEB,Fundraiser,Yes,January,44,No,1,1,1,6,7
YZHHT,Spirit Wear,No,October,1,No,23,14,5,28,47
ZR6T5,Volleyball,No,August,3,Yes,11,8,1,20,111
ZD758,Football,Yes,June,34,Yes,67,23,3,17,84
ZGSED,Soccer,No,September,18,No,8,8,1,15,43
XNZH9,Softball,No,February,11,Yes,22,13,5,15,49
ZR34X,Baseball,No,January,31,No,19,14,7,19,77
Z33BH,Wrestling,Yes,February,11,No,11,5,1,10,53
YZQE4,Soccer,No,September,12,No,3,3,2,9,16
ZTYFY,Lacrosse,Yes,January,31,No,36,20,7,32,170
ZC7Y2,Basketball,No,October,17,Yes,17,12,1,19,36
Y4G2U,Spirit Wear,No,August,35,No,25,19,6,41,108
ZZQ5R,Other,No,November,8,No,2,1,1,13,21
YKUJX,Wrestling,No,October,13,No,19,14,3,46,118
Y2Z5E,Spirit Wear,No,September,21,No,10,10,2,63,115
YX75R,Soccer,No,March,6,No,36,5,3,2,5
YUH3K,Cross Country,No,August,12,No,10,9,4,24,34
XVZTN,Other,No,February,13,No,24,12,8,19,38
ZCBV4,Hockey,No,November,7,No,27,3,1,3,0
XFCCP,Tennis,No,September,17,Yes,7,1,1,1,0
YTWR7,Baseball,No,April,8,No,12,6,6,10,16
Z26NG,Softball,No,February,17,No,23,12,10,28,104
ZFV5M,Softball,No,January,26,No,18,14,7,36,111
